EmployeeId,EmployeeName,Department,CompanyName,CompanyID
79743,rahul,DEV,sonubit,sonubit143
79744,sadu,QA,sonubit,sonubit143
79746,rahul,HR,sonubit,sonubit143
79749,sadu,TESTING,sonubit,sonubit143
79753,rahul,HR,sonubit,sonubit143
79758,vishab,MANAGEMENT,sonubit,sonubit143
79764,raju,HR,sonubit,sonubit143
79771,sonu,TESTING,sonubit,sonubit143
79779,raju,MANAGEMENT,sonubit,sonubit143
79788,raju,HR,sonubit,sonubit143
79798,raju,TESTING,sonubit,sonubit143
79809,sonu,QA,sonubit,sonubit143
79821,rahul,HR,sonubit,sonubit143
79834,raju,MANAGEMENT,sonubit,sonubit143
79848,sonu,TESTING,sonubit,sonubit143
79863,rahul,QA,sonubit,sonubit143
79879,raju,QA,sonubit,sonubit143
79896,raju,DEV,sonubit,sonubit143
79914,sonu,HR,sonubit,sonubit143
79933,vishab,TESTING,sonubit,sonubit143
79953,sonu,TESTING,sonubit,sonubit143
79974,rahul,HR,sonubit,sonubit143
79996,vishab,DEV,sonubit,sonubit143
80019,rahul,TESTING,sonubit,sonubit143
80043,raju,HR,sonubit,sonubit143
80068,rahul,DEV,sonubit,sonubit143
80094,rahul,QA,sonubit,sonubit143
80121,vishab,QA,sonubit,sonubit143
80149,sonu,HR,sonubit,sonubit143
80178,vishab,DEV,sonubit,sonubit143
80208,rahul,HR,sonubit,sonubit143
80239,vishab,MANAGEMENT,sonubit,sonubit143
80271,raju,QA,sonubit,sonubit143
80304,sonu,MANAGEMENT,sonubit,sonubit143
80338,rahul,QA,sonubit,sonubit143
80373,rahul,TESTING,sonubit,sonubit143
80409,rahul,HR,sonubit,sonubit143
80446,sadu,HR,sonubit,sonubit143
80484,rahul,MANAGEMENT,sonubit,sonubit143
80523,sonu,MANAGEMENT,sonubit,sonubit143
80563,raju,DEV,sonubit,sonubit143
80604,sonu,MANAGEMENT,sonubit,sonubit143
80646,sonu,HR,sonubit,sonubit143
80689,rahul,HR,sonubit,sonubit143
80733,rahul,MANAGEMENT,sonubit,sonubit143
80778,rahul,MANAGEMENT,sonubit,sonubit143
80824,raju,DEV,sonubit,sonubit143
