EmployeeId,EmployeeName,Department,CompanyName,CompanyID
20043,vishab,QA,wipro,wipro143
20044,sadu,HR,wipro,wipro143
20046,vishab,QA,wipro,wipro143
20049,sadu,MANAGEMENT,wipro,wipro143
20053,raju,MANAGEMENT,wipro,wipro143
20058,rahul,DEV,wipro,wipro143
20064,sadu,DEV,wipro,wipro143
20071,rahul,MANAGEMENT,wipro,wipro143
20079,vishab,DEV,wipro,wipro143
20088,sadu,DEV,wipro,wipro143
20098,sadu,QA,wipro,wipro143
20109,rahul,TESTING,wipro,wipro143
20121,sadu,MANAGEMENT,wipro,wipro143
20134,sadu,QA,wipro,wipro143
20148,sonu,QA,wipro,wipro143
20163,vishab,MANAGEMENT,wipro,wipro143
20179,vishab,TESTING,wipro,wipro143
20196,rahul,DEV,wipro,wipro143
20214,sonu,TESTING,wipro,wipro143
20233,sonu,MANAGEMENT,wipro,wipro143
20253,rahul,DEV,wipro,wipro143
20274,raju,MANAGEMENT,wipro,wipro143
20296,rahul,TESTING,wipro,wipro143
20319,sadu,HR,wipro,wipro143
20343,vishab,MANAGEMENT,wipro,wipro143
20368,sonu,QA,wipro,wipro143
20394,sonu,TESTING,wipro,wipro143
20421,raju,MANAGEMENT,wipro,wipro143
20449,vishab,DEV,wipro,wipro143
20478,sonu,QA,wipro,wipro143
20508,raju,DEV,wipro,wipro143
20539,sadu,MANAGEMENT,wipro,wipro143
20571,rahul,DEV,wipro,wipro143
20604,raju,TESTING,wipro,wipro143
20638,sadu,MANAGEMENT,wipro,wipro143
20673,raju,HR,wipro,wipro143
20709,sonu,MANAGEMENT,wipro,wipro143
20746,sadu,TESTING,wipro,wipro143
20784,sonu,DEV,wipro,wipro143
20823,rahul,TESTING,wipro,wipro143
20863,sonu,QA,wipro,wipro143
20904,rahul,HR,wipro,wipro143
20946,raju,QA,wipro,wipro143
20989,sadu,HR,wipro,wipro143
21033,raju,TESTING,wipro,wipro143
21078,sadu,QA,wipro,wipro143
21124,rahul,TESTING,wipro,wipro143
21171,rahul,MANAGEMENT,wipro,wipro143
21219,vishab,QA,wipro,wipro143
21268,vishab,MANAGEMENT,wipro,wipro143
21318,raju,TESTING,wipro,wipro143
21369,rahul,TESTING,wipro,wipro143
21421,rahul,MANAGEMENT,wipro,wipro143
21474,vishab,HR,wipro,wipro143
21528,vishab,DEV,wipro,wipro143
21583,raju,HR,wipro,wipro143
21639,sonu,TESTING,wipro,wipro143
21696,vishab,MANAGEMENT,wipro,wipro143
21754,sonu,QA,wipro,wipro143
21813,rahul,TESTING,wipro,wipro143
21873,vishab,QA,wipro,wipro143
21934,raju,TESTING,wipro,wipro143
21996,sonu,MANAGEMENT,wipro,wipro143
22059,raju,QA,wipro,wipro143
22123,raju,MANAGEMENT,wipro,wipro143
22188,sadu,DEV,wipro,wipro143
22254,sadu,TESTING,wipro,wipro143
22321,raju,QA,wipro,wipro143
22389,vishab,QA,wipro,wipro143
22458,sadu,QA,wipro,wipro143
22528,rahul,QA,wipro,wipro143
22599,raju,DEV,wipro,wipro143
22671,raju,QA,wipro,wipro143
22744,raju,MANAGEMENT,wipro,wipro143
22818,sadu,DEV,wipro,wipro143
22893,sadu,MANAGEMENT,wipro,wipro143
22969,vishab,MANAGEMENT,wipro,wipro143
23046,rahul,HR,wipro,wipro143
23124,raju,MANAGEMENT,wipro,wipro143
23203,rahul,DEV,wipro,wipro143
23283,rahul,MANAGEMENT,wipro,wipro143
23364,rahul,TESTING,wipro,wipro143
23446,rahul,TESTING,wipro,wipro143
23529,rahul,TESTING,wipro,wipro143
23613,sadu,MANAGEMENT,wipro,wipro143
23698,rahul,DEV,wipro,wipro143
23784,sadu,QA,wipro,wipro143
23871,rahul,MANAGEMENT,wipro,wipro143
